,word,same_letters,matches
0,aahed,1.565010799136069,0.38444924406047515
1,aalii,1.6241900647948164,0.31360691144708425
2,aargh,1.4401727861771059,0.35550755939524836
3,aarti,1.7144708423326134,0.32742980561555074
4,abaca,1.4868250539956804,0.2937365010799136
5,abaci,1.3736501079913608,0.2708423326133909
6,abacs,1.3611231101511878,0.2816414686825054
7,abaft,1.2781857451403889,0.3248380129589633
8,abaka,1.3805615550755939,0.25183585313174944
9,abamp,1.1788336933045356,0.25399568034557235
10,aband,1.2980561555075594,0.33002159827213823
11,abash,1.331317494600432,0.33434125269978404
12,abask,1.2548596112311015,0.323110151187905
13,abaya,1.4734341252699783,0.22937365010799135
14,abbas,1.2829373650107991,0.17840172786177105
15,abbed,1.2393088552915767,0.28077753779697623
16,abbes,1.3464362850971923,0.24535637149028078
17,abcee,1.6138228941684665,0.41252699784017277
18,abeam,1.4855291576673866,0.232829373650108
19,abear,1.7183585313174945,0.3062634989200864
20,abele,1.7002159827213823,0.39740820734341253
21,abers,1.592656587473002,0.22548596112311015
22,abets,1.5192224622030237,0.21987041036717062
23,abies,1.510583153347732,0.33563714902807773
24,abler,1.6056155507559395,0.34514038876889847
25,ables,1.5110151187904968,0.2691144708423326
26,ablet,1.5321814254859611,0.36285097192224625
27,ablow,1.1624190064794817,0.18056155507559396
28,abmho,1.0911447084233261,0.13131749460043196
29,abohm,1.0911447084233261,0.20345572354211663
30,aboil,1.3580993520518359,0.30885529157667385
31,aboma,1.320086393088553,0.2302375809935205
32,aboon,1.3269978401727862,0.2863930885529158
33,abord,1.320086393088553,0.2898488120950324
34,abore,1.616414686825054,0.4220302375809935
35,abram,1.3909287257019438,0.2267818574514039
36,abray,1.4423326133909287,0.36587473002159826
37,abrim,1.2777537796976242,0.22462203023758098
38,abrin,1.386609071274298,0.2626349892008639
39,abris,1.4159827213822893,0.22203023758099352
40,absey,1.411231101511879,0.39697624190064795
41,absit,1.342548596112311,0.27991360691144707
42,abuna,1.3356371490280778,0.24535637149028078
43,abune,1.3991360691144707,0.4008639308855292
44,abuts,1.2604751619870411,0.21468682505399567
45,abuzz,0.7356371490280778,0.14946004319654427
46,abyes,1.411231101511879,0.23326133909287258
47,abysm,1.0838012958963283,0.17235421166306694
48,acais,1.5252699784017278,0.2946004319654428
49,acari,1.6198704103671706,0.2812095032397408
50,accas,1.4393088552915767,0.18833693304535637
51,accoy,1.2505399568034556,0.31663066954643626
52,acerb,1.5192224622030237,0.22505399568034556
53,acers,1.670842332613391,0.23585313174946004
54,aceta,1.723110151187905,0.24233261339092874
55,achar,1.5041036717062635,0.24406047516198703
56,ached,1.3658747300215983,0.27041036717062633
57,aches,1.4730021598272138,0.23498920086393088
58,achoo,1.331317494600432,0.16414686825053995
59,acids,1.29244060475162,0.2384449244060475
60,acidy,1.2056155507559396,0.3801295896328294
61,acing,1.232829373650108,0.2894168466522678
62,acini,1.3827213822894169,0.27645788336933047
63,ackee,1.5857451403887688,0.4038876889848812
64,acker,1.491144708423326,0.3123110151187905
65,acmes,1.4380129589632829,0.257451403887689
66,acmic,1.187904967602592,0.1861771058315335
67,acned,1.4397408207343412,0.3265658747300216
68,acnes,1.546868250539957,0.2911447084233261
69,acock,1.1576673866090712,0.2980561555075594
70,acold,1.3166306695464363,0.3045356371490281
71,acred,1.5637149028077755,0.3369330453563715
72,acres,1.670842332613391,0.301511879049676
73,acros,1.5053995680345573,0.22116630669546436
74,acted,1.490280777537797,0.3144708423326134
75,actin,1.3913606911447085,0.2505399568034557
76,acton,1.4025917926565874,0.23930885529157667
77,acyls,1.3131749460043196,0.17624190064794817
78,adaws,1.2958963282937366,0.22850971922246222
79,adays,1.3922246220302377,0.21900647948164148
80,adbot,1.2466522678185745,0.260475161987041
